Dilution,Primer,Type,Ct_Mean
1_10,A,1,14.92569828
1_10,A,2,14.58175182
1_10,A,3,14.68615532
1_10,A,4,14.59135342
1_100,A,1,18.70685196
1_100,A,2,18.47418976
1_100,A,3,18.44647026
1_100,A,4,18.38645935
1_1000,A,1,22.14564133
1_1000,A,2,21.59483528
1_1000,A,3,21.48814774
1_1000,A,4,21.67683601
1_10,B,1,14.34563446
1_10,B,2,14.15760994
1_10,B,3,14.7885437
1_10,B,4,14.01763725
1_100,B,1,18.50508118
1_100,B,2,18.59883118
1_100,B,3,18.56130981
1_100,B,4,18.444664
1_1000,B,1,21.72675133
1_1000,B,2,21.67089844
1_1000,B,3,21.83694267
1_1000,B,4,21.60534668
Control,A,RT,30
Control,B,RT,30
Control,0,Water,30
